DATASET_HEATMAP 
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL example_heatmap

#dataset color (can be changed later)
COLOR #ff0000

#define labels for each individual field column
FIELD_LABELS has_HT_var

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#


#Heatmaps can have an optional Newick formatted tree assigned. Its leaf IDs must exactly match the dataset FIELD_LABELS.
#The tree will be used to sort the dataset fields, and will be displayed above the dataset. It can have branch lengths defined.
#All newlines and spaces should be stripped from the tree, and COMMA cannot be used as the dataset separator if a FIELD_TREE is provided.
FIELD_TREE (((f1:0.2,f5:0.5):1,(f2:0.2,f3:0.3):1.2):0.5,(f4:0.1,f6:0.5):0.8):1;


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,group_2566 group_2533 group_2405 group_2345 group_601 group_373 group_2670 group_1979 group_1978 group_616
#LEGEND_SHAPE_SCALES,1,1,0.5

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN 0

#width of the individual boxes
#STRIP_WIDTH 25

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL 0


#show dashed lines between leaf labels and the dataset
#DASHED_LINES 1

#if a FIELD_TREE is present, it can be hidden by setting this option to 0
#SHOW_TREE 1

#define the color for the NULL values in the dataset. Use the letter X in the data to define the NULL values
#COLOR_NAN #000000

#automatically create and display a legend based on the color gradients and values defined below
#AUTO_LEGEND 1

#define the heatmap gradient colors. Values in the dataset will be mapped onto the corresponding color gradient.
#COLOR_MIN #ff0000
#COLOR_MAX #0000ff

#you can specify a gradient with three colors (e.g red to yellow to green) by setting 'USE_MID_COLOR' to 1, and specifying the midpoint color
#USE_MID_COLOR 1
#COLOR_MID #ffff00

#By default, color gradients will be calculated based on dataset values. You can force different values to use in the calculation by setting the values below:
#USER_MIN_VALUE 0
#USER_MID_VALUE 500
#USER_MAX_VALUE 1000

#border width; if set above 0, a border of specified width (in pixels) will be drawn around individual cells
#BORDER_WIDTH 0

#border color; used only when BORDER_WIDTH is above 0
#BORDER_COLOR #0000ff

#display or hide the text labels above each field column
#SHOW_LABELS 1

#text label size factor
#SIZE_FACTOR 1

#text label rotation
#LABEL_ROTATION 0

#text label shift in pixels (positive or negative)
#LABEL_SHIFT 0


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#ID1 value1 value2 value3 value4 value5 value6
#You can use the 'X' letter instead of the numeric value to denote the empty fields. These will be colored using 'COLOR_NAN' option set above.
#9606 100 300 250 100 50 210
#15303 20 X 130 200 300 15
#ID has_HT_var
ERR1203064 1
ERR161044 0
ERR1815539 0
ERR1815542 1
ERR1815543 1
ERR1815546 1
ERR1815547 1
ERR1815549 1
ERR1815550 1
ERR181980 1
ERR212091 0
ERR2212116 0
ERR2212117 0
ERR2212118 0
ERR2212119 0
ERR2212120 0
ERR2212121 0
ERR2212124 0
ERR2212125 0
ERR2815506 1
ERR2815508 1
ERR2815509 0
ERR2815510 0
ERR2815511 1
ERR2815512 0
ERR2815519 1
ERR2815520 0
ERR2815535 1
ERR2815537 0
ERR2815600 1
ERR2815603 1
ERR2815604 1
ERR2815605 1
ERR2815606 1
ERR2815607 0
ERR2815608 0
ERR2815609 1
ERR2815611 1
ERR2815612 0
ERR2815613 0
ERR3445485 0
ERR3445486 0
ERR3445488 0
ERR3445490 0
ERR3445491 0
ERR3445492 0
ERR3445494 0
ERR3445496 0
ERR3445497 0
ERR3445499 0
ERR3445500 0
ERR4450919 0
ERR4450920 0
ERR4450921 0
ERR4450922 0
ERR4450923 0
ERR4450924 0
ERR4450925 0
ERR4450926 0
ERR4450927 0
ERR4450928 0
ERR4450929 0
ERR4450930 0
ERR4450931 0
ERR4450932 0
ERR4450933 0
ERR4450934 0
ERR4450936 0
ERR4450937 0
ERR4450938 0
ERR4450939 0
ERR4450940 0
ERR4450941 0
ERR4450942 0
ERR4450944 0
ERR4450945 0
ERR4450946 0
ERR4450947 0
ERR4450948 0
ERR4450949 0
ERR4450951 0
ERR4450952 0
ERR4450953 0
ERR4450955 0
ERR4450957 0
ERR4450958 0
ERR4450959 0
ERR4450960 0
ERR4450962 0
ERR4450964 0
ERR4450966 0
ERR4450967 0
ERR4450969 0
ERR4450970 0
ERR4450971 0
ERR4450973 0
ERR4450974 0
ERR4450975 0
ERR4450976 0
ERR4451180 0
ERR4451181 0
ERR4451182 0
ERR4451184 0
ERR4451185 0
ERR4451186 0
ERR4451187 0
ERR4451188 0
ERR4451189 0
ERR4451190 0
ERR4451191 0
ERR4451192 0
ERR4451193 0
ERR4451194 0
ERR4451195 0
ERR4769395 0
ERR4769396 0
ERR4769397 0
ERR4769398 0
ERR4769399 0
ERR4769400 0
ERR4769401 0
ERR4769402 0
ERR4769405 0
ERR4769407 0
ERR4769409 0
ERR4769411 1
ERR4769413 0
ERR4769414 0
ERR4769415 0
ERR4769416 0
ERR4769420 0
ERR4769422 0
ERR4769426 0
ERR4769430 0
ERR4769431 1
ERR4769432 0
ERR4769434 1
ERR4769438 0
ERR4769443 0
ERR4769448 0
ERR4769449 0
ERR4769456 0
ERR4769458 0
ERR4769460 0
ERR4769465 0
ERR4769466 1
ERR4769468 0
ERR4769475 0
ERR4769476 0
ERR4769477 0
ERR4769483 0
ERR4769490 0
ERR4769492 0
ERR4769496 0
ERR4769499 0
ERR4769501 0
ERR4769509 0
ERR4769515 0
ERR4769523 1
ERR4769526 1
ERR4769535 0
ERR4769559 0
ERR4769563 0
ERR4769565 0
ERR4769569 1
ERR4772200 0
ERR4772209 0
ERR4772213 0
ERR4772214 0
ERR4772216 0
ERR4772220 0
